期间,国家,主体,供应商,费用类型,FPP场景,Document Category,交易币种,支付币种,Payment Description,Invoice策略,合同号,账单金额(不含税),税额,含税总额,Requester,Business Reviewer,Department,Center,成本中心校验状态,期间一致性状态,金额校验状态,可提交(Y/N),阻断原因
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,01400,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,02270,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0740L,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,0740M,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,789.12,0,789.12,,,,08000,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,2104.31,0,2104.31,,,,08200,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,08225,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,08263,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,263.04,0,263.04,,,,08900,ok,ok,ok,Y,
202605,US,Tencent America LLC,Kaiser,Employee Commercial Insurance,Benefits Insurance,Invoice,USD,USD,Kaiser Employee Commercial Insurance,WITH INVOICE,,526.08,0,526.08,,,,09R08,ok,ok,ok,Y,
